year,global_avg,bangalore_city_avg,sanjose_city_avg
1950,8.37,24.85,14.66
1951,8.63,25.03,14.06
1952,8.64,25.12,14.11
1953,8.87,25.18,14.42
1954,8.56,24.92,14.18
1955,8.63,24.78,13.74
1956,8.28,24.73,14.08
1957,8.73,25.11,14.59
1958,8.77,25.29,15.41
1959,8.73,25.24,15.39
1960,8.58,25.07,14.59
1961,8.80,24.97,14.65
1962,8.75,24.90,14.22
1963,8.86,25.04,14.19
1964,8.41,25.09,14.24
1965,8.53,25.04,14.14
1966,8.60,25.32,14.74
1967,8.70,24.87,14.50
1968,8.52,25.00,14.66
1969,8.60,25.36,14.51
1970,8.70,24.95,14.76
1971,8.60,24.74,13.89
1972,8.50,25.22,14.25
1973,8.95,25.40,14.58
1974,8.47,24.94,14.41
1975,8.74,24.86,13.82
1976,8.35,25.13,14.72
1977,8.85,25.20,14.63
1978,8.69,25.07,14.96
1979,8.73,25.44,14.99
1980,8.98,25.45,14.74
1981,9.17,25.17,15.22
1982,8.64,25.42,14.00
1983,9.03,25.59,15.07
1984,8.69,25.08,14.97
1985,8.66,25.31,14.23
1986,8.83,25.51,15.00
1987,8.99,25.81,14.95
1988,9.20,25.50,15.08
1989,8.92,25.20,14.45
1990,9.23,25.25,14.73
1991,9.18,25.49,14.50
1992,8.84,25.16,15.53
1993,8.87,25.22,14.97
1994,9.04,25.22,14.21
1995,9.35,25.44,15.31
1996,9.04,25.41,15.56
1997,9.20,25.68,15.75
1998,9.52,26.01,14.38
1999,9.29,25.29,14.41
2000,9.20,25.34,15.02
2001,9.41,25.53,15.25
2002,9.57,25.76,15.00
2003,9.53,25.92,15.43
2004,9.32,25.25,15.37
2005,9.70,25.48,15.17
2006,9.53,25.42,15.02
2007,9.73,25.46,14.94
2008,9.43,25.35,15.05
2009,9.51,25.73,15.02
2010,9.70,25.71,14.67
2011,9.52,25.36,14.50
2012,9.51,26.04,15.05
2013,9.61,26.61,16.23
